# 
6900,1.85307295775727e-31,1.85309059946366e-31,1.85338669757354e-31,1.85865876857438e-31,1.95453198113746e-31,4.53195577799094e-31,5.21422692307814e-30,1.40926147262398e-23
7000,2.6805475263627e-31,2.68057304747468e-31,2.68100139339953e-31,2.68862815714316e-31,2.8273219470238e-31,6.55624928180247e-31,7.57279212264815e-30,2.05252326059657e-23
7100,3.83674849794145e-31,3.83678502941307e-31,3.83739817303558e-31,3.84831528882365e-31,4.04684499400185e-31,9.38524309120579e-31,1.09097412134499e-29,2.96998560822976e-23
7200,5.43629496027529e-31,5.43634672505608e-31,5.43721554429781e-31,5.4526850054329e-31,5.73400059046248e-31,1.32998565226432e-30,1.55969239567038e-29,4.27102562995185e-23
7300,7.62821785337107e-31,7.62829049435856e-31,7.62950969952754e-31,7.65121783943478e-31,8.04598625898231e-31,1.86654995787526e-30,2.21321146471465e-29,6.10426536875331e-23
7400,1.06045967615355e-30,1.06046977516252e-30,1.06063927676806e-30,1.06365727994552e-30,1.11854062859134e-30,2.59524818161863e-30,3.10879776318235e-29,8.63066879705894e-23
7500,1.46109277125483e-30,1.46110668636254e-30,1.46134023731028e-30,1.46549864975091e-30,1.54112087143754e-30,3.57618703056042e-30,4.31910704987182e-29,1.20536196542625e-22
7600,1.99584625830185e-30,1.99586526725951e-30,1.99618431330588e-30,2.00186498038236e-30,2.10517014033597e-30,4.88558625489776e-30,5.93742852969322e-29,1.66362536220831e-22
7700,2.70387841325031e-30,2.70390416691836e-30,2.70433641607917e-30,2.71203268376877e-30,2.85199254131096e-30,6.61932017622705e-30,8.07911488762868e-29,2.27007284981614e-22
7800,3.63408997085833e-30,3.63412458604057e-30,3.63470556671923e-30,3.64505002427122e-30,3.83316853968348e-30,8.89708978076967e-30,1.08851708297922e-28,3.06358643653165e-22
7900,4.84711477263457e-30,4.84716094387859e-30,4.84793588131978e-30,4.86173377186834e-30,5.1126546818982e-30,1.18672770621581e-29,1.45259857077994e-28,4.09040484220054e-22
8000,6.41762238055093e-30,6.41768351388577e-30,6.41870957482894e-30,6.43697876169901e-30,6.76921236553827e-30,1.57125545317298e-29,1.9205069825816e-28,5.40466255959969e-22
8100,8.43696427965126e-30,8.43704465153329e-30,8.43839361195841e-30,8.46241207822942e-30,8.89919900786965e-30,2.065632462019e-29,2.51626073863472e-28,7.06867821562955e-22
8200,1.1016195923967e-29,1.10163008690115e-29,1.10180622650098e-29,1.10494242154156e-29,1.16197556275934e-29,2.6970064641532e-29,3.26785797706936e-28,9.1528660550142e-22
8300,1.42895071746504e-29,1.42896433060351e-29,1.42919281330862e-29,1.43326098595451e-29,1.50724251633541e-29,3.49816530283075e-29,4.20751440289308e-28,1.1735113332462e-21
8400,1.84180936059714e-29,1.84182690727059e-29,1.84212141036386e-29,1.84736508678341e-29,1.94272357730659e-29,4.50847515159427e-29,5.37178643636487e-28,1.48994273498046e-21
8500,2.35945012200157e-29,2.35947260056152e-29,2.35984988035848e-29,2.36656740927873e-29,2.48872836755881e-29,5.77494446426712e-29,6.80284868902479e-28,1.87394982498814e-21
8600,3.00474802727836e-29,3.00477665405364e-29,3.00525712539968e-29,3.0138119962238e-29,3.16938553415635e-29,7.35353156615649e-29,8.56223380618683e-28,2.3417642478552e-21
8700,3.804736209898e-29,3.80477245880348e-29,3.80538085985853e-29,3.81621353935574e-29,4.01320961165635e-29,9.31031552323989e-29,1.07173356479809e-27,2.91019644469826e-21
8800,4.79120043821884e-29,4.7912460860307e-29,4.7920122381789e-29,4.80565370057728e-29,5.05372814108575e-29,1.17229576496981e-28,1.334374766969e-27,3.59738655671627e-21
8900,6.00133249587268e-29,6.00138967373382e-29,6.00234934604571e-29,6.0194364649638e-29,6.33017088670368e-29,1.46823179132117e-28,1.65288970444463e-27,4.42410598477423e-21
9000,7.47844460805277e-29,7.47851585978292e-29,7.47971174768225e-29,7.50100472159547e-29,7.88822339598548e-29,1.82941978142156e-28,2.03734856233575e-27,5.41405061814167e-21
9100,9.27274703544297e-29,9.27283538325455e-29,9.27431821150786e-29,9.3007202023415e-29,9.78084718392109e-29,2.26812372075334e-28,2.49930504338602e-27,6.59415654398298e-21
